competicion,hora,pronostico,equipo_local,equipo_visitante,equipos,prob_1,prob_x,prob_2,prob_ht1,prob_htx,prob_ht2,prob_over_15,prob_over_25,prob_over_35,prob_btts_yes,prob_btts_no,origen,scraped_at
INGLATERRA – PREMIER LEAGUE,,más de 1.5 goles,– Tottenham,Crystal Palace,– Tottenham – Crystal Palace,45,29,26,33,45,22,80,52,26,56,44,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
FRANCIA – COUPE DE FRANCIA,,más de 1.5 goles,– Lyon,Lens,– Lyon – Lens,43,25,32,34,41,25,86,64,31,56,44,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
BULGARIA – FIRST PROFESSIONAL LEAGUE,,1X – doble oportunidad,– Ludogorets Razgrad,Levski Sofia,– Ludogorets Razgrad – Levski Sofia,53,25,22,30,56,14,74,50,27,53,47,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
BULGARIA – FIRST PROFESSIONAL LEAGUE,,X2 – doble oportunidad,– Lokomotiv Plovdiv,CSKA 1948,– Lokomotiv Plovdiv – CSKA 1948,31,30,39,27,44,29,72,43,25,46,54,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
BULGARIA – FIRST PROFESSIONAL LEAGUE,,1X – doble oportunidad,– Lokomotiv Sofia,Dobrudzha,– Lokomotiv Sofia – Dobrudzha,50,29,21,33,49,18,81,56,29,44,56,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
NORUEGA – CUP,,más de 1.5 goles,– Molde,Bodo/Glimt,– Molde – Bodo/Glimt,29,25,46,21,52,27,93,78,48,74,26,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
MÉXICO – LIGA MX CLAUSURA,,1X – doble oportunidad,– Club America,FC Juarez,– Club America – FC Juarez,57,25,18,38,48,14,84,59,31,49,51,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
MÉXICO – LIGA MX CLAUSURA,,1X – doble oportunidad,– Atlas,Club Tijuana,– Atlas – Club Tijuana,47,31,22,33,47,20,72,50,36,54,46,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
RUSIA – CUP,,más de 1.5 goles,– Dinamo Moscow,Spartak Moscow,– Dinamo Moscow – Spartak Moscow,31,31,38,27,46,27,82,60,38,61,39,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
RUSIA – CUP,,más de 1.5 goles,– Arsenal Tula,Lokomotiv Moscow,– Arsenal Tula – Lokomotiv Moscow,15,33,52,15,53,32,88,58,37,57,43,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
COLOMBIA – PRIMERA A APERTURA,,1X – doble oportunidad,– Deportes Tolima,post Santa Fe,– Deportes Tolima – post Santa Fe,45,29,26,32,49,19,63,38,17,42,58,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
COLOMBIA – PRIMERA A APERTURA,,X2 – doble oportunidad,– Llaneros,Internacional De Bogota,– Llaneros – Internacional De Bogota,32,34,34,24,50,26,64,33,14,35,65,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
EGIPTO – 1. DIVISION,,X2 – doble oportunidad,– Al Mokawloon,Al Ahly Cairo,– Al Mokawloon – Al Ahly Cairo,15,30,55,15,42,43,82,43,24,42,58,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
EGIPTO – 1. DIVISION,,X2 – doble oportunidad,– Haras El Hodood,Pyramids FC,– Haras El Hodood – Pyramids FC,15,26,59,15,42,43,84,58,32,41,59,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
EGIPTO – 1. DIVISION,,1X – doble oportunidad,– Petrojet,El Geish,– Petrojet – El Geish,42,34,24,30,49,21,65,41,22,46,54,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
